2024-06-23 18:42:51.233 [main] INFO  g.o.s.ShortenServiceApplication - Starting ShortenServiceApplication using Java 17.0.2 with PID 16668 (C:\SON.admin\ProjectFinal\gonlink.online\backend\shorten-service\build\classes\java\main started by ADMIN in C:\SON.admin\ProjectFinal\gonlink.online\backend)
2024-06-23 18:42:52.724 [cluster-ClusterId{value='66780a3c42c5f64bb5b2e19e', description='null'}-ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=320017500, setName='atlas-mog6u6-shard-0', canonicalAddress=ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, hosts=[ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='apse1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTHEAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=174, topologyVersion=TopologyVersion{processId=66771273682e8caa7e42ad04, counter=5}, lastWriteDate=Sun Jun 23 18:43:24 ICT 2024, lastUpdateTimeNanos=989139037735500}
2024-06-23 18:42:52.727 [cluster-ClusterId{value='66780a3c42c5f64bb5b2e19e', description='null'}-ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017 with max election id 7fffffff0000000000000166 and max set version 174
2024-06-23 18:42:52.897 [main] INFO  n.d.b.g.s.s.AbstractGrpcServerFactory - Registered gRPC service: gonlink.online.UrlShortenerService, bean: urlShortenerServiceGrpc, class: gonlink.online.shortenservice.grpc.UrlShortenerServiceGrpc
2024-06-23 18:42:52.897 [main] INFO  n.d.b.g.s.s.AbstractGrpcServerFactory - Registered gRPC service: grpc.health.v1.Health, bean: grpcHealthService, class: io.grpc.protobuf.services.HealthServiceImpl
2024-06-23 18:42:52.897 [main] INFO  n.d.b.g.s.s.AbstractGrpcServerFactory - Registered gRPC service: grpc.reflection.v1alpha.ServerReflection, bean: protoReflectionService, class: io.grpc.protobuf.services.ProtoReflectionService
2024-06-23 18:42:53.059 [main] INFO  n.d.b.g.s.s.GrpcServerLifecycle - gRPC Server started, listening on address: *, port: 9090
2024-06-23 18:42:53.070 [main] INFO  g.o.s.ShortenServiceApplication - Started ShortenServiceApplication in 2.596 seconds (process running for 3.322)
2024-06-23 20:04:33.851 [SpringApplicationShutdownHook] INFO  n.d.b.g.s.s.GrpcServerLifecycle - Completed gRPC server shutdown
2024-06-23 20:04:36.376 [main] INFO  g.o.s.ShortenServiceApplication - Starting ShortenServiceApplication using Java 17.0.2 with PID 20920 (C:\SON.admin\ProjectFinal\gonlink.online\backend\shorten-service\build\classes\java\main started by ADMIN in C:\SON.admin\ProjectFinal\gonlink.online\backend)
2024-06-23 20:04:36.379 [main] INFO  g.o.s.ShortenServiceApplication - No active profile set, falling back to 1 default profile: "default"
2024-06-23 20:04:36.757 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2024-06-23 20:04:36.805 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 44 ms. Found 1 MongoDB repository interface.
2024-06-23 20:04:37.199 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.2+8-LTS-86"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='sonnees', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@3a894088, com.mongodb.Jep395RecordCodecProvider@370c1968, com.mongodb.KotlinCodecProvider@2f0bfe17]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.m0vbmbu.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-mog6u6-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
2024-06-23 20:04:37.257 [cluster-ClusterId{value='66781d6570f02c38c6d37958', description='null'}-srv-cluster0.m0vbmbu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017 to client view of cluster
2024-06-23 20:04:37.283 [cluster-ClusterId{value='66781d6570f02c38c6d37958', description='null'}-srv-cluster0.m0vbmbu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017 to client view of cluster
2024-06-23 20:04:37.285 [cluster-ClusterId{value='66781d6570f02c38c6d37958', description='null'}-srv-cluster0.m0vbmbu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017 to client view of cluster
2024-06-23 20:04:37.597 [main] INFO  n.d.b.g.s.a.GrpcServerFactoryAutoConfiguration - Detected grpc-netty-shaded: Creating ShadedNettyGrpcServerFactory
2024-06-23 20:04:37.908 [main] INFO  n.d.b.g.s.s.AbstractGrpcServerFactory - Registered gRPC service: gonlink.online.UrlShortenerService, bean: urlShortenerServiceGrpc, class: gonlink.online.shortenservice.grpc.UrlShortenerServiceGrpc
2024-06-23 20:04:37.908 [main] INFO  n.d.b.g.s.s.AbstractGrpcServerFactory - Registered gRPC service: grpc.health.v1.Health, bean: grpcHealthService, class: io.grpc.protobuf.services.HealthServiceImpl
2024-06-23 20:04:37.908 [main] INFO  n.d.b.g.s.s.AbstractGrpcServerFactory - Registered gRPC service: grpc.reflection.v1alpha.ServerReflection, bean: protoReflectionService, class: io.grpc.protobuf.services.ProtoReflectionService
2024-06-23 20:04:37.963 [cluster-ClusterId{value='66781d6570f02c38c6d37958', description='null'}-ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=319803300, setName='atlas-mog6u6-shard-0', canonicalAddress=ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017, hosts=[ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='apse1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTHEAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=174, topologyVersion=TopologyVersion{processId=667713e45aeb0ccf358d8d0e, counter=5}, lastWriteDate=Sun Jun 23 20:05:09 ICT 2024, lastUpdateTimeNanos=994044309249900}
2024-06-23 20:04:37.963 [cluster-ClusterId{value='66781d6570f02c38c6d37958', description='null'}-ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=313710300, setName='atlas-mog6u6-shard-0', canonicalAddress=ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, hosts=[ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='apse1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTHEAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=174, topologyVersion=TopologyVersion{processId=66771273682e8caa7e42ad04, counter=5}, lastWriteDate=Sun Jun 23 20:05:09 ICT 2024, lastUpdateTimeNanos=994044309249900}
2024-06-23 20:04:37.963 [cluster-ClusterId{value='66781d6570f02c38c6d37958', description='null'}-ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=315822100, setName='atlas-mog6u6-shard-0', canonicalAddress=ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, hosts=[ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='apse1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTHEAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000166, setVersion=174, topologyVersion=TopologyVersion{processId=6677115120c1dfd097c229a1, counter=9}, lastWriteDate=Sun Jun 23 20:05:09 ICT 2024, lastUpdateTimeNanos=994044309275400}
2024-06-23 20:04:37.966 [cluster-ClusterId{value='66781d6570f02c38c6d37958', description='null'}-ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017 with max election id 7fffffff0000000000000166 and max set version 174
2024-06-23 20:04:38.060 [main] INFO  n.d.b.g.s.s.GrpcServerLifecycle - gRPC Server started, listening on address: *, port: 9090
2024-06-23 20:04:38.069 [main] INFO  g.o.s.ShortenServiceApplication - Started ShortenServiceApplication in 2.005 seconds (process running for 2.543)
2024-06-23 20:10:34.828 [SpringApplicationShutdownHook] INFO  n.d.b.g.s.s.GrpcServerLifecycle - Completed gRPC server shutdown
2024-06-23 20:16:46.711 [main] INFO  g.o.s.ShortenServiceApplication - Starting ShortenServiceApplication using Java 17.0.2 with PID 18080 (C:\SON.admin\ProjectFinal\gonlink.online\backend\shorten-service\build\classes\java\main started by ADMIN in C:\SON.admin\ProjectFinal\gonlink.online\backend)
2024-06-23 20:16:46.714 [main] INFO  g.o.s.ShortenServiceApplication - No active profile set, falling back to 1 default profile: "default"
2024-06-23 20:16:47.133 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2024-06-23 20:16:47.181 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 44 ms. Found 1 MongoDB repository interface.
2024-06-23 20:16:47.566 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.2+8-LTS-86"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='sonnees', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@4a37191a, com.mongodb.Jep395RecordCodecProvider@5854a18, com.mongodb.KotlinCodecProvider@d5556bf]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.m0vbmbu.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-mog6u6-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
2024-06-23 20:16:47.602 [cluster-ClusterId{value='6678203fa873977e89b14de8', description='null'}-srv-cluster0.m0vbmbu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017 to client view of cluster
2024-06-23 20:16:47.628 [cluster-ClusterId{value='6678203fa873977e89b14de8', description='null'}-srv-cluster0.m0vbmbu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017 to client view of cluster
2024-06-23 20:16:47.630 [cluster-ClusterId{value='6678203fa873977e89b14de8', description='null'}-srv-cluster0.m0vbmbu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017 to client view of cluster
2024-06-23 20:16:47.937 [main] INFO  n.d.b.g.s.a.GrpcServerFactoryAutoConfiguration - Detected grpc-netty-shaded: Creating ShadedNettyGrpcServerFactory
2024-06-23 20:16:48.222 [main] INFO  n.d.b.g.s.s.AbstractGrpcServerFactory - Registered gRPC service: gonlink.online.UrlShortenerService, bean: urlShortenerServiceGrpc, class: gonlink.online.shortenservice.grpc.UrlShortenerServiceGrpc
2024-06-23 20:16:48.222 [main] INFO  n.d.b.g.s.s.AbstractGrpcServerFactory - Registered gRPC service: grpc.health.v1.Health, bean: grpcHealthService, class: io.grpc.protobuf.services.HealthServiceImpl
2024-06-23 20:16:48.222 [main] INFO  n.d.b.g.s.s.AbstractGrpcServerFactory - Registered gRPC service: grpc.reflection.v1alpha.ServerReflection, bean: protoReflectionService, class: io.grpc.protobuf.services.ProtoReflectionService
2024-06-23 20:16:48.266 [cluster-ClusterId{value='6678203fa873977e89b14de8', description='null'}-ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=291170500, setName='atlas-mog6u6-shard-0', canonicalAddress=ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, hosts=[ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='apse1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTHEAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000166, setVersion=174, topologyVersion=TopologyVersion{processId=6677115120c1dfd097c229a1, counter=9}, lastWriteDate=Sun Jun 23 20:17:20 ICT 2024, lastUpdateTimeNanos=994774611301000}
